Name,h1,h2,N1,N2,vocabulary,length,volume,difficulty,effort,time,bugs,MI,CC,CCL,CCO,CEE,CI,LDC,LLDC,CLLC,CLC,NCR,CR,CEG,TLLOC,TLOC,TNCL,TNFI,TNM,TNOS,TNPKG,TCLOC,TNDI,WarningBlocker,WarningCritical,WarningMajor,WarningMinor,WarningInfo
ELI5,4.476190476190476,20.885714285714286,14.6,27.257142857142856,25.36190476190476,41.857142857142854,240.07889313359402,2.885115050966793,1580.1696905724352,87.78720503180193,0.080026297711198,70.46506447033829,2.8307704145068464,1,2,4.25,2,40,36,0.003099173540249467,0.002757289679720998,0.125,0.0008608815260231495,0.05949755758047104,11616,14507,33,105,701,4456,23,3338,26,0,230,307,812,0
EvalAI,0.5481335952848723,4.18860510805501,2.675834970530452,4.913555992141454,4.736738703339882,7.589390962671906,49.20196319193764,0.3124144886080106,290.8795885493505,16.159977141630588,0.01640065439731254,93.09707020312486,3.0645914941126415,72,343,2839.7734375,181,4120,3692,0.09394162893295288,0.0891292616724968,0.1232098788022995,0.0806971862912178,1.014835238456726,39301,46225,552,509,1234,10598,208,2946,211,0,79,424,1540,0
facenet,4.688311688311688,30.415584415584416,20.662337662337663,39.753246753246756,35.103896103896105,60.41558441558441,391.0363603313024,3.0238199829933188,3218.31455999002,178.79525333277888,0.13034545344376755,73.3934783163289,3.172850001786616,11,45,1764.2857666015625,25,654,587,0.0832742229104042,0.06300578266382217,0.2857142984867096,0.13140669465065002,1.7576501369476318,7049,10380,20,77,312,4558,12,2305,15,0,656,240,2093,0
FaceSwap,6.053763440860215,39.333333333333336,27.623655913978496,50.215053763440864,45.38709677419355,77.83870967741936,523.7435967290234,3.833551428084614,4691.138502205003,260.6188056780557,0.17458119890967444,69.85052214401178,2.858684516379044,8,46,46.0,16,385,267,0.0037222919054329395,0.004652736708521843,0.11250000447034836,0.0033542450983077288,0.08760925382375717,71730,82747,495,278,3439,25173,65,32249,68,0,674,79,273,0
Fairseq,5.2793755135579294,25.221035332785537,19.48644207066557,35.9695973705834,30.500410846343467,55.456039441248976,350.57381229750547,3.6487565161558737,3725.3495665471432,206.96386480817435,0.11685793743250172,71.77311875649264,3.537567504479806,163,1358,40747.96484375,378,10262,8902,0.05794139578938484,0.05413389578461647,0.27470842003822327,0.28260254859924316,2.6616251468658447,153638,189567,1452,1216,8000,65760,353,21283,356,0,5055,3048,8787,0
FastAI,5.906542056074766,36.4392523364486,25.560747663551403,47.58878504672897,42.345794392523366,73.14953271028037,504.3500614575871,3.7440788529466955,5483.403843007459,304.6335468337477,0.1681166871525292,69.7301882221971,2.2916538298130553,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,15015,18223,279,107,1691,6480,21,3048,24,0,1841,1491,7147,0
FeatureTools,2.1814159292035398,16.77433628318584,11.298672566371682,21.238938053097346,18.95575221238938,32.53761061946903,218.68715459089967,1.371210112009362,1529.5014848580597,84.97230471433664,0.07289571819696651,82.12134696857919,3.1977183080084646,50,182,182.7897491455078,118,2725,2485,0.05016958713531494,0.045644890516996384,0.10656410455703735,0.026459146291017532,0.5080109238624573,49532,59700,387,452,2785,17347,63,7820,66,0,939,792,2948,0
FiftyOne,3.1152,27.7824,20.2928,38.2192,30.8976,58.512,437.16888301370193,2.0914254109702166,4675.726804320396,259.7626002400219,0.14572296100456708,79.94294020189413,3.0167571141697644,272,1555,13668.1435546875,717,16622,12233,0.07307559251785278,0.08072105795145035,0.07008003443479538,0.08390869945287704,0.8811098337173462,167402,205919,1167,624,7776,59966,325,53378,328,0,4544,2858,4156,0
gensim,4.333333333333333,30.18773946360153,21.471264367816094,40.337164750957854,34.52107279693487,61.808429118773944,437.4562067866251,2.797188785113906,4557.389533237757,253.18830740209748,0.14581873559554184,69.86371526975947,3.1981231230991263,64,354,1211.9222412109375,143,8749,7110,0.15141190588474274,0.13106723129749298,0.32300347089767456,0.6393070816993713,8.98011589050293,46958,66752,287,261,2317,17349,90,30776,93,0,674,647,4862,0
Giskard,2.328185328185328,11.768339768339768,7.5482625482625485,14.287644787644787,14.096525096525097,21.835907335907336,119.64990020035066,1.4102611736161195,583.1509159237452,32.39727310687472,0.039883300066783534,78.65074039099895,3.087248348978151,37,150,115.3846206665039,85,2572,1697,0.049391698092222214,0.05914955213665962,0.09251559525728226,0.032501667737960815,0.6844841241836548,34358,43483,286,503,2140,12491,205,5431,208,0,980,620,2927,0
