Name,h1,h2,N1,N2,vocabulary,length,volume,difficulty,effort,time,bugs,MI,CC,CCL,CCO,CEE,CI,LDC,LLDC,CC,CLLC,CLC,NCR,CR,CEG,TLLOC,TLOC,TNCL,TNFI,TNM,TNOS,TNPKG,TCLOC,TNDI,WarningBlocker,WarningCritical,WarningMajor,WarningMinor,WarningInfo
Dash,2.9356913183279745,19.623794212218648,12.588424437299036,23.659163987138264,22.559485530546624,36.247588424437296,211.22268387413777,1.7551638445677922,964.0852779905402,53.560293221696654,0.07040756129137937,67.43620715541739,3.2464108264639115,10,62,225.25,22,591,370,0.024440130218863487,0.02175063267350197,0.027439873665571213,0.1875,0.05649285763502121,1.0428024530410767,17011,21538,90,119,1048,6374,12,2966,16,0,0,0,0,0
DeepChem,3.7838541666666665,24.765625,18.59765625,34.247395833333336,28.549479166666668,52.845052083333336,335.6917712830299,2.5532469254901033,2768.7936253472885,153.82186807484965,0.11189725709434332,69.9615729235319,3.3343713826805406,124,912,3900.416015625,295,8462,5269,0.07530667632818222,0.047119107097387314,0.06564218550920486,0.22424742579460144,0.19661039113998413,2.3772788047790527,111823,128911,718,506,4034,35241,52,50874,56,0,0,0,0,0
DeepMind Control,4.731343283582089,22.591044776119404,16.93134328358209,30.376119402985076,27.322388059701492,47.30746268656716,289.8757214522104,3.048510367489821,2433.0139088156548,135.16743937864746,0.09662524048407037,72.5068145491167,2.210311872292172,12,37,58.375,25,558,492,0.01225489191710949,0.011730764992535114,0.0097701046615839,0.1770833283662796,0.008446388877928257,0.20768649876117706,41941,57113,504,313,3452,17581,43,14310,47,0,0,0,0,0
DeepPavlov,4.691943127962086,24.981042654028435,18.180094786729857,33.976303317535546,29.672985781990523,52.156398104265406,337.38332171638876,3.0982039297096406,3145.646732305418,174.75815179474546,0.11246110723879633,75.84823879580442,5.3236885671586895,3,24,7.75,6,164,92,0.00563014904037118,0.004302281886339188,0.00604875897988677,0.125,0.009890572167932987,0.4830067753791809,21384,27113,174,209,934,11154,41,6992,45,0,0,0,0,0
Detectron2,4.641129032258065,23.056451612903224,16.625,31.08467741935484,27.697580645161292,47.70967741935484,298.73448922945374,3.0447903316033633,2717.804800142732,150.98915556348487,0.09957816307648473,75.03768545094901,3.8253672217700863,19,98,258.0,40,1091,934,0.024919778108596802,0.024259740486741066,0.023064563050866127,0.24812030792236328,0.040393322706222534,0.7274068593978882,38500,47302,345,219,1925,15677,29,12211,33,0,0,0,0,0
DIGITS,4.264705882352941,25.205882352941178,18.205882352941178,34.1078431372549,29.470588235294116,52.31372549019608,339.4164610531157,2.8225165844683366,3338.405079793106,185.46694887739469,0.11313882035103856,75.73790483096961,3.4304969312765037,27,388,918.75,55,1820,1523,0.10711711645126343,0.09777863323688507,0.09137463569641113,0.2777777910232544,0.6356574296951294,9.289512634277344,15576,19918,172,148,966,7037,33,3805,37,0,0,0,0,0
DragGan,8.51937984496124,63.95348837209303,53.06976744186046,101.01550387596899,72.47286821705427,154.08527131782947,1103.4719076862668,6.467769253082501,14214.543883229042,789.6968824016135,0.3678239692287557,63.099808695333195,3.8348536695149167,71,1076,2791.0,143,6565,5278,0.39076367020606995,0.36312350630760193,0.33633893728256226,0.6185445785522461,10.081527709960938,85.39734649658203,14535,19519,134,93,869,9361,17,4293,21,0,0,0,0,0
EasyOCR,6.723684210526316,45.526315789473685,34.43421052631579,65.53947368421052,52.25,99.97368421052632,673.7456740023682,4.897348595100859,6697.975681658311,372.1097600921284,0.22458189133412274,59.86953816274158,4.0103437711668635,0,0,0.0,__INVALID__,0,0,0,0.0,0.0,0.0,__INVALID__,0.0,2556,3126,17,15,106,1583,2,423,6,0,0,0,0,0
ELI5,5.292134831460674,24.662921348314608,17.235955056179776,32.17977528089887,29.95505617977528,49.41573033707865,283.29256928684873,3.409405397208014,1864.271853414121,103.5706585230067,0.09443085642894955,64.91040311142268,2.9732140130196956,1,2,6.800000190734863,2,40,36,0.005197976715862751,0.0031039833556860685,0.002823064336553216,0.20000000298023224,0.001379548222757876,0.07196680456399918,11598,14169,32,87,697,4446,7,3117,11,0,0,0,0,0
EvalAI,0.8230088495575221,6.289085545722714,4.017699115044247,7.377581120943953,7.112094395280236,11.395280235988201,73.8755140551512,0.46908252124329614,436.7484087658389,24.26380048699106,0.024625171351717063,89.63542399230252,3.0873740794556763,72,343,4732.95556640625,181,4120,3692,0.10443338751792908,0.0980767160654068,0.09421880543231964,0.20534980297088623,0.1404154747724533,1.6591529846191406,37644,43728,541,320,1110,9967,38,2617,42,0,0,0,0,0
